,,,,,,,,,,,,
,,,,,,,,,신규,변경,,
,,,,,,,,이용자,3,6,,
CleverSpace ,,,,,,,,관리자,(None),,,
■ 서비스 이용자,,,,,,,,,,,,
No.,Level1,작업 유형 구분,요구 사항(기능/비기능),개발 버전,우선 순위,기능 설명 ,문서 ID,UI 필요 여부,개발 필요 여부,신규 페이지 분량,MMI 전달 여부,비고
,기본 이용,신규,서비스 이용자는 Clever Space 홈을 조회한다.,,P1,"1) 다음과 같은 정보를 조회할 수 있는 기능
  ⓐ 플랜 이용 현황: 스토리지, 케이스 공유 횟수
  ⓑ 서비스 이용 현황: 데이터 업로드, 케이스 공유
2) 데이터는 실시간이 아닌, 새로고침 방식으로 동작(새로 고침 버튼 추가)",CSP_USER_Home_View,●,●,1,대기,
,,변경,서비스 이용자는 서비스 이용 약관에 동의한다.,,P1,1) 법률 동의 항목 pdf 교체,CSP_USER_TermOfUse_Consent,X,X,0,대기,*단순 pdf 교체
,서비스 이용 제한,추가,"서비스 이용자(오너)는 구독 만료 시, 만료 알림을 확인한다.",,P1,"1) 오너가 구독이 만료된 경우, 만료 알림을 확인할 수 있는 상단 배너 표시
2) 다음과 같은 상황에 만료 알림 표시
  ⓐ 카드 결제 실패 등으로 무료 플랜 자동 전환
  ⓑ 서비스 구독 취소(자동 결제 해지) 후, 무료 플랜 자동 전환
  ⓒ 유료 플랜에서 무료 플랜으로 변경 신청한 후, 무료 플랜으로 자동 전환
3) 구독 상태 확인 및 변경할 수 있도록 '고객 포털 홈'으로 이동하는 버튼 제공
4) 배너는 '홈' 화면에서 7일간 표시 유지",CSP_USER_Subscription_Expired,▲,●,0,대기,
,,신규,"서비스 이용자(멤버)는 유료에서 무료 플랜 전환 시, 서비스 접속이 불가하다.",,P2,"1) 무료 플랜의 경우, 오너만 서비스 이용이 가능. 그에 따라 유료에서 무료 플랜으로 변한 경우, 오너 이외의 사용자가 서비스를 이용하지 못하도록 막는 기능 필요.
2) 해당 기능은 멤버가 접속할 경우, '접속 불가' 메시지를 띄우는 안내 화면",CSP_USER_ServiceAccess_Denied,●,●,1,대기,
,,신규,서비스 이용자(오너)는 멤버의 서비스 이용 권한을 관리한다.,,P2,"1) Clever Space 내에서 사용자의 역할(또는 권한)을 관리하는 기능 필요
2) OneID는 서비스에 대한 접근 권한 부여, 각 서비스 별로 상세 권한 및 역할 부여하는 방식
 ⓐ OneID에서의 오너는 각 서비스에서도 오너 역할 유지
 ⓑ Clever Space 내에서 역할(또는 권한) 부여
 ⓒ 오너는 Clever Space에서 멤버를 퇴출하거나, 추가하는 기능 필요
 ⓓ 퇴출된 멤버는 명단에서 삭제 처리
 ⓔ 멤버의 서비스 접속이 차단된 경우, 'Inactive' 상태 표시",CSP_USER_Member_Management,●,●,1,대기,
,,추가,서비스 이용자는 스토리지 한도가 초과되면  업로드 및 케이스 공유가 제한된다.,,P1,"1) 데이터 업로드 시, 스토리지가 초과되면 경고창이 표시되도록 추가",CSP_USER_Storage_Restricted,X,●,0,대기,
,,추가,서비스 이용자는 월간 공유 횟수 한도를 초과하면 공유가 제한된다.,,P1,"1) 케이스 공유시, 공유 횟수를 초과하면 경고창이 표시되도록 추가",CSP_USER_ShareNumber_Restricted,X,●,0,대기,
,,추가,서비스 이용자는 조직의 월간 전체 다운로드 한도 또는 케이스별 다운로드 한도를 초과할 경우 다운로드가 제한된다.,,P1,"1) 데이터 다운로드 횟수를 초과한 경우, 경고창이 표시되도록 추가
2) 아래 상황에서 경고창 표시 필요
  ⓐ 월간 조직 전체 다운로드(모든 케이스) 횟수 초과
  ⓑ 월간 케이스별 다운로드 횟수 초과",CSP_USER_CaseDownload_Exceeded,X,●,0,대기,
,,추가,서비스 이용자는 월간 CT 조회 전체 횟수를 초과할 경우 CT 조회가 제한된다.,,P1,"1) 플랜별로 CT 영상 조회 가능 횟수를 제어하는 기능 및 경고창(예:  무료-월 5회)
   ⓐ 케이스 당 조회가 아닌 월 단위 횟수 제한임",CSP_USER_CTView_Exceeded,X,●,0,대기,
,,추가,무료 플랜을 사용중인 서비스 이용자는 심플 뷰어를 이용할 수 없다.,,P2,"1) 무료 플랜 이용자는 '심플 뷰어 다운로드' 기능 이용 불가
2) [심플 뷰어 다운로드] 체크 시, '다운로드 불가' 경고창 표시",CSP_USER_SimpleViewer_Restricted,X,●,0,대기,*제외될 가능성이 높은 기능
,,,,,,,,,,,,
■ 서비스 관리자,,,,,,,,,,,,
No.,Level1,작업 유형 구분,기능,개발 버전,우선 순위,기능 설명 ,도큐먼트 ID,UI 필요 여부,개발 필요 여부,신규 페이지 분량,MMI 전달 여부,비고
(None),,,,,,,,,,,,
,,,,,,,,,,,,
