,,,,,,,,,신규,변경,,
,,,,,,,,이용자,13,4,,
OneID ,,,,,,,,관리자,0,0,,
■ 서비스 이용자,,,,,,,,,,,,
No.,Level1,작업 유형 구분,요구 사항(기능/비기능),개발 버전,우선 순위,기능 설명 ,문서 ID,UI 필요 여부,개발 필요 여부,신규 페이지 분량,MMI 전달 여부,비고
,구독 및 결제,신규,서비스 이용자(오너)는 플랜을 구독한다.,,P1,"1) 최초로 서비스를 활성화할 때, 플랜 선택 및 결제를 진행하는 기능
2) 어떤 플랜을 선택하는지에 따라 이후 화면과 작업이 상이함.
  Ⓐ 무료: Clever Space 홈 이동
  ⓑ 유료: 결제 화면 이동 및 결제 정보 입력
  ⓒ 엔터프라이즈: 견적 폼 제출 화면 이동 및 폼 제출
3) 엔터프라이즈 플랜은 별도 견적 상담 및 변경 전까지는 무료 플랜 제공
  ⓐ 제출한 폼은 ES CS 이메일로 발송 필요",PD_USER_Plan_Subscribe,●,●,6,완료,
,플랜 관리,신규,서비스 이용자(오너)는 구독 관리 화면을 조회한다.,,P1,"1) 고객 포털에서 다음과 같은 기능 지원 필요
  ⓐ 이용 중인 플랜 정보 확인
  ⓑ 플랜 상향/하향 변경 버튼
  ⓒ 구독 취소 버튼
  ⓓ 카드 등록 및 변경 
  ⓔ 청구 정보 변경
  ⓕ 거래 내역(결제/환불)  조회 및 pdf 다운로드 버튼",PD_USER_Plan_Manage,●,●,1,완료,
,,신규,서비스 이용자(오너)는 플랜을 상향 변경한다.,,P1,"1) 이용자가 플랜을 상향 변경할 경우, 추가금만 결제하고 바로 플랜 변경
   (다음달부터는 추가금이 아닌 원금으로 결제 진행)
2) 플랜 변경(AS-IS/TO-BE) 내역과 추가금 계산 방식을 명확히 설명하는 정보 필요",PD_USER_Plan_Upgrade,●,●,1,완료,
,,신규,서비스 이용자(오너)는 플랜을 하향 변경한다.,,P1,"1) 이용자가 플랜을 하향 변경하는 경우, 해당 월까지는 기존 플랜을 이용하고 다음번부터 하위 유료 플랜으로 변경
2) 플랜 하향 변경 시 제공하는 서비스보다 사용량이 많을 경우, 서비스 이용에 제한이 발생(예: 스토리지 제공량 < 스토리지 사용량 → 업로드 불가)",PD_USER_Plan_Downgrade,●,●,1,완료,
,,신규,서비스 이용자(오너)는 구독을 취소한다. ,,P1,"1) 이용자가 플랜을 하향 변경하는 경우, 해당 월까지는 기존 플랜을 이용하고 다음번부터 무료 플랜으로 변경
2) 플랜 하향 변경 시 제공하는 서비스보다 사용량이 많을 경우, 서비스 이용에 제한이 발생(예: 스토리지 제공량 < 스토리지 사용량 → 업로드 불가)
3) 구독 취소 시, 구독 취소 이유를 선택하게 하여 마케팅 전략에 활용",PD_USER_Plan_Cancel,●,●,1,완료,
,,신규,서비스 이용자(오너)는 결제 수단을 관리(등록/변경)한다.,,P1,"1) 카드를 신규로 등록하거나, 변경하는 기능
2) 패들에서 제공하는 API를 활용하여 카드 유효성 확인 진행(결제 승인/거절)",PD_USER_Payment_Manage,●,●,1,완료,
,,신규,서비스 이용자(오너)는 청구 정보를 관리(등록/변경)한다.,,P1,"1) 세금 신고를 수행하기 위한 결제 청구 정보를 수정 및 관리하는 기능
2) 인보이스 추가 수신 이메일 필드를 추가하여 오너 외에 다른 사람(예: 회계팀)에게 인보이스가 발송되도록 하는 기능 필요
3) 주소 및 우편번호와 Tax ID를 기준으로 세금 신고 진행
  → 패들 측에 해당 정보가 자동으로 패들에게 전송되는지는 확인 필요",PD_USER_BillingInfo_Manage,●,●,1,완료,
