, ,,,,,,
product version,v1.0,,,,,,
api version,/v1,,,,,,
Description,API Required Permission 관련 문서:,Confidential_OneID_v1.0_Authorizations.xlsx,,,,,
,,,,,,,
Resource,URI,Method,Description,,API Defiend,Implemented,
sysconfig,,,,,,,updated 07/03
,sysconfig/countries,GET,국가 리스트 조회 ,,O,O,
,sysconfig/userconsole,GET,User Console end point 조회,O,O,O,
terms,,,,,,,
,terms,GET,약관 리스트 조회,,O,O,
,terms/:id/:locale,GET,약관 조회 ,,O,Dummy,
salesarea,,,,,,,
,salesarea,GET,Sales Area 리스트 조회,,O,,
,salesarea/:id/countries,GET,Sales Area 국가 리스트 조회,,O,,
accounts,,,,,,,
,accounts/availability,POST,이메일 주소 가입 가능 여부 확인,public,O,O,
,accounts/:keyclodkId/sendverificationmail,POST,이메일 인증 메일 전송 ,public,O,O,
,accounts/:keyclodkId/federated-identity,GET,소셜 로그인 연동 정보 조회,user ,O,O,
,accounts/:keyclodkId/federated-identity/:provider_id,DELETE,소셜 로그인 연동 해제,user,O,O,
,accounts/invitation/:invitation_id/verification,GET,계정 초대장 유효성 검증,,O,,Added 10/15 (Levi)
tenants,,,,,,,
,tenants,POST,테넌트 추가,public,O,O,
,tenants/:uid,GET,테넌트 조회,user,O,O,
,,PUT,테넌트 업데이트,user,O,O,
,,DELETE,테넌트 삭제,user,O,O,
,tenants/:uid/brief,GET,테넌트 관련 간략 정보 조회 ,O,O,O,
,tenants/:uid/users/invitations,POST,테넌트 사용자 초대 생성,user,O,,
,,GET,테넌트 사용자 초대 리스트 조회,user,O,,
,tenants/:uid/users/invitations/:invitation_id,GET,테넌트 사용자 초대 조회,user,O,,
,,PUT,테넌트 사용자 초대 재전송,user,v1.0 N/A,,
,,DELETE,테넌트 사용자 초대 취소 ,user,O,,
,tenants/:uid/users,POST,테넌트 사용자 추가 ,,O,,
,,GET,테넌트 사용자 리스트 조회,user,O,,
,,DELETE,테넌트 사용자 삭제,,O,,
,tenants/:uid/users/:user_uid,GET,테넌트 사용자 조회,user,O,,
,,DELETE,테넌트 사용자 삭제,user,O,,
,tenants/:uid/transfers,POST,테넌트 이관 요청,user - owner,O,O,
,,GET,테넌트 이관 요청 조회,user - owner,O,O,
,tenants:/:uid/transfers/:transfer_id,PUT,테넌트 이관 수락/거절,user,O,O,
,,DELETE,테넌트 이관 취소,user- owner,O,O,
,tenants/:uid/subscriptions,POST,테넌트 구독,,O,O,
,,GET,테넌트 구독 리스트 조회 (v1.0: only one),,O,O,
,tenants/:uid/subscriptions/:uid,PUT,테넌트 구독 업데이트,,O,O,
,,GET,테넌트 구독 조회,,v1.0 N/A,,
