version,/v1,,,,,,,
,,,,,,,,
Resource,URI,Method,Description,Design Assignee,Notes,,,
sysconfig,/.well-known/server-configuration.json,GET,EzCloud 설정 및 구성 정보 조회,Ann,,,,
,/countries,GET,서비스 지원 국가 조회,Ann,,,랜딩 페이지 > 프로모션,리소스 추가 필요
,/terms,GET,약관 리스트 조회,Ann,,,주요 이벤트 표시,로깅 시스템 정보를 활용한다. 로깅에 개인정보 관련 정보가 있어서 안된다.
,/terms/:id/:locale_code,GET,약관 조회,Ann,,,,주요 이벤트 관리를 위한 구조 필요 (v1.0 스펙 변경 요청)
auth,/auth/token,POST,EzCloud Access Token 발급,Ann,,,,
,/auth/token/ezserver,POST,"EzCloud Access Token 발급 (for EzServer, client-credentials)",Ann,,,,
tenants,/tenants,POST,EzCloud 테넌트&소유자 온보딩,Ann,EZCLD-333,,,
,/tenants,GET,EzCloud 테넌트 조회,Ann,EZCLD-334,,,
,/tenants/memberships?email=:email,GET,e-mail이 속한 테넌트 멤버십 정보 조회,Ann,EZCLD-334,,,
,/tenants/members,POST,EzCloud 테넌트 멤버 온보딩,Ann,EZCLD-333,,,
,/tenants/members,GET,테넌트 멤버 조회,Ann,EZCLD-334,,BE,
,/tenants/members/consent,POST,약관 동의 ,Ann,EZCLD-335,,AuthGuard,EzServerAuthGuard
,/tenants/members/consent,GET,약관 동의 상태 조회,Ann,EZCLD-335,,,MemberAuthGuard
,/tenants/members/consent,DELETE,약관 해지,Ann,EZCLD-335,,,GuestAuthGuard (입력한 보안 코드와 DB 저장된 보안 코드 체크)
,/tenants/members/settings,POST,테넌트 멤버 셋팅 저장,Ann,EZCLD-336,,,
,/tenants/members/settings,GET,테넌트 멤버 셋팅 조회,Ann,EZCLD-336,,,
,/tenants/members/settings/locale-code,POST,테넌트 멤버 로케일 코드 셋팅 저장,Ann,EZCLD-336,,,
,/tenants/subscriptions/metrics,GET,테넌트의 구독 및 관련 메트릭 정보 조회,Ann,EZCLD-336,,,
oragnization data,/organization-data/upload/limit,GET,조직 데이터 업로드 제한을 조회한다.,Ann,,,,
,/organization-data/upload/presigned-url,POST,조직 데이터 업로드 presigned-url 생성,Ann,,,,
,/organization-data,POST,조직 데이터 생성,Ann,,,,
,/organization-data/shared,POST,조직 데이터 공유,Ann,,,,
,/organization-data/patients,GET,환자 정보 검색 / 환자 리스트  조회,Levi,EZCLD-339,,,
,/organization-data/patients/:chartNo,GET,환자 상세 정보 조회,Levi,,,,
,/organization-data/patients/::chartNo,DELETE,환자 삭제,Levi,,,,
,/organization-data/patient/:chartNo/images,GET,환자 이미지 검색 / 이미지 리스트 조회,Levi,,,,
,/organization-data/patient/:chartNo/images/:imageId,GET,환자 이미지 상세 정보 조회,Levi,,,,
,/organization-data/patient/:chartNo/images/:imageId,DELETE,환자 이미지 삭제,Levi,,,,
,/organization-data/patient/:chartNo/images/:imageId/metadata,PUT,환자 이미지 메타 데이터(편집 내역) 업데이트,Ann,,,,
,/organization-data/patient/:chartNo/images/:imageId/metadata,GET,환자 이미지 메타 데이터(편집 내역) 조회,Ann,,,,
,/organization-data/patient/:chartNo/images/:imageId/fileinfo,GET,환자 이미지 파일 정보 조회,구현 시점 구체화,,,,
shared,/shared-data/cases,GET,공유 케이스(수신/발신) 조회,Levi,,,,
,/shared-data/cases/received,GET,공유 케이스(수신) 조회,Levi,"하나의 api로 제공하고, 필터 파라미터 received/shared ",,,
,/shared-data/cases/shared,GET,공유 케이스(발신) 조회,Levi,,,,
,/shared-data/cases/metrics/:type,GET,공유케이스(수신/발신) 목록 조회 (Home 화면 summary 용),Jin,EZCLD-339,,,
,/shared-data/cases/:caseUID,GET,공유 케이스 상세 정보 조회,Levi,,,,
,/shared-data/cases/:caseUID/image/:imageId,GET,공유 케이스 이미지 상세 정보 조회,Levi,,,,
,/shared-data/cases/:caseUID/image/:imageId/metadata,PUT,공유 케이스 이미지 메타 데이터(편집 내역) 업데이트,Ann,,,,
,/shared-data/cases/:caseUID/image/:imageId/metadata,GET,공유 케이스 이미지 메타 데이터(편집 내역) 조회,Ann,,,,
,/shared-data/cases/:caseUID/image/:imageId/fileinfo,GET,공유 케이스 이미지 파일 정보 조회,구현 시점 구체화,,,,
,/shared-data/cases/:caseUID,PUT,공유 케이스 상태 변경,Levi,"Levi) 만료, 중단을 하나의 케이스로 통합",,,
,/shared-data/cases/:caseUID,DELETE,공유 케이스 삭제,Levi,,,,
,/shared/recipients?limt={limit}&sort={sort},GET,공유 수신자 목록 조회,Ann,v1.0 제외,,,
,/shared-data/cases/:caseUID/download/presigned-url,POST,공유 케이스 다운로드 presigned-url 생성,Ann,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
