Section (string),Key (string),Default Value (string),Auth Required To Read,Comment,Applied EzServer Version,VTS,Link,Comment2,Updated
PasswordPolicy,minimumLength,"""10""",TRUE,Minimum password length.,v4.1.0,EZEW-312,,,
PasswordPolicy,isUpperAlphabetsEnabled,"""true""",TRUE,Enable/disable upper alphabets.,v4.1.0,EZEW-312,,,
PasswordPolicy,isLowerAlphabetsEnabled,"""true""",TRUE,Enable/disable lower alphabets.,v4.1.0,EZEW-312,,,
PasswordPolicy,isNumericDigitsEnabled,"""true""",TRUE,Enable/disable numeric digits.,v4.1.0,EZEW-312,,,
PasswordPolicy,isSpecialCharactersEnabled,"""true""",TRUE,Enable/disable special characters.,v4.1.0,EZEW-312,,,
PasswordPolicy,isExpirationEnabled,"""true""",TRUE,Enable/disable password expiration.,v4.1.0,EZEW-312,,,
PasswordPolicy,expirationDaysAfter,"""180""",TRUE,Password expiration day after password updated.,v4.1.0,EZEW-312,https://vks.vatech.co.kr/pages/viewpage.action?pageId=47920863,,
PasswordPolicy,expirationReminderDaysBefore,"""10""",TRUE,Password expiration reminder days before the expiration date.,v4.1.0,EZEW-312,,,
PasswordPolicy,specialCharacters,"!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",TRUE,Special characters for password. (Default value has 32 ascii characters without space.),v4.1.0,"EZEW-312
ETWO-7870",,in hex code: 2122232425262728292A2B2C2D2E2F3A3B3C3D3E3F405B5C5D5E5F607B7C7D7E,
Whitelist,isEnabled,"""false""",TRUE,Enable/disable whitelist access control for temporary login.,N/A,ARCH-741,,v3.0에서 지원하지 않음.,
ProtectPatientSocialIDs,isEnabled,"""false""",TRUE,Enable/disable patients' social IDs protection.,v4.1.0,ARCH-740,,,
Equipment,favorites,"""""",TRUE,Favorite equipment.,v4.1.2,ETWO-7948,,"Favorite equipment.
- separator: |
- example: CT Ceph|DXI-600|CT Pano|",
ThirdPartyIntegration,thirdPartyName,"""""",FALSE,Name of 3rd party PMS.,v5.0.0,EZEW-383,,"""Clever"", …
* Using GET /api/v1/e2ds/vpopviewersettings, it can be read without authencation

This is defined v-pop viewer srs.
",
ThirdPartyIntegration,integrationMode,"""""",FALSE,Integration mode with 3rd party PMS.,v5.0.0,EZEW-383,,"* ""looselyIntegrated"": 3rd party PMS except Clever will be applied.
* ""notIntegrated""
* ""tightlyIntegrated"": It is only for Clever.
* Using GET /api/v1/e2ds/vpopviewersettings, it can be read without authencation

This is defined v-pop viewer srs.",
ThirdPartyIntegration,integratedUrl,"""""",FALSE,Integrated URL.,v5.0.0,EZEW-348,,,
ThirdPartyIntegration,isIntegrated,"""false""",FALSE,True if integrated with 3rd party PMS.,v5.0.0,,,,
ThirdPartyIntegration,authEndpoint,"""""",FALSE,3rd party Auth provider endpoint URL,v5.1.0,EZEW-484,,,2021-10-21 Added for EzServer v5.1.0
ThirdPartyIntegration,apiEndpoint,"""""",FALSE,3rd party Backend API endpoint URL,v5.1.0,EZEW-484,,,2021-10-21 Added for EzServer v5.1.0
ThirdPartyIntegration,ezDentWebClientId,"""""",FALSE,Client ID for EzDent Web on Clever,v5.1.0,EZEW-484,,"This is encrypted with AES256 and base64 encoded.
- key (256bit): ""4c1149a417a2a03c0767f79f2081e413aa69b76d2b22ee5714d21f5b9270fdec"" (hex) or ""TBFJpBeioDwHZ/efIIHkE6ppt20rIu5XFNIfW5Jw/ew="" (base64)
- iv (128bit): ""18ef5c8f960543637718f2b642569ac1""(hex) or ""GO9cj5YFQ2N3GPK2QlaawQ=="" (base64)
- mode: CBC
- padding: Pkcs7
e.g. client id: ""helloclientid"" => ""d9586d05418372e4211c6925e5931383""(hex) or ""2VhtBUGDcuQhHGkl5ZMTgw==""(base64)",2021-10-21 Added for EzServer v5.1.0
ThirdPartyIntegration,ezDentWebClientSecret,"""""",FALSE,Client Secret for EzDent Web on Clever,v5.1.0,EZEW-484,,Same logic with client id,2021-10-21 Added for EzServer v5.1.0
Allowlist,isEnabled,"""false""",TRUE,Enable/disable allowlist for legacy applications.,v5.0.0,ARCH-741,,,
Allowlist,applications,"""VTEzBridge""",TRUE,"Applications that doesn't use Oauth. Applications are separated by ""|"".",v5.0.0,ARCH-741,,,"2021-01-08 Removed EzMobile, Added EzOrtho, VTEzBridge
2021-01-19 Updated to ""*|VTEzBridge""
2021-02-05 Removed ""*"""
LogInSettings,isEnabled,"""false""",FALSE,Enable/disable authentication.,v5.0.0,"EZSV-362, EZSV-514",,"* Using GET /api/v1/settings/loginsettings, it can be read without authentcation.",
LogInSettings,timeoutMinutes,"""30""",FALSE,Session time out in minutes.,v5.0.0,EZSV-362,,,2021-02-09 set auth required to false which is used in ezlauncher
LogInSettings,allowMultipleLogIn,"""true""",FALSE,Allow/disallow multiple log in.,v5.0.0,ARCH-756,,,2021-02-09 set auth required to false which is used in ezlauncher
FeatureSecurity,isEnabled,"""true""",TRUE,True if feature security is enabled.,v5.0.0,"EZSV-362, EZSV-514",,,2021-04-19 changed default value to true
FeatureSecurity,securityCode,"""pCWXfTdDIfBlNX320lAStpulw/PkX+PiO2iapGuqAL0=""",TRUE,Securiy code. ,v5.0.0,EZSV-362,,"security code in (HMAC256(SHA256 with 128bit key) hashed + Base64)
plain text: ""0000""
key hex value: ""2e4180ce3f4a2879c3457165341a0cd7""
* This should be acceessed via securitycode api.","2021-01-13 plain text is changed to ""0000"" and default value is changed as well.
2021-02-09 updated comment."
FeatureSecurity,askOnModifyingSharedData,"""true""",TRUE,"When modifying shared data, if true, feature security code is asked to user. Otherwise operation will be executed.",v5.0.0,EZSV-362,,,2021-03-09 Change key name based on MMI updates(03-02)
FeatureSecurity,askOnModifyingPatient,"""true""",TRUE,"When modifying patient, if true, feature security code is asked to user. Otherwise operation will be executed.",v5.0.0,EZSV-362,,,2021-03-09 Change key name based on MMI updates(03-02)
FeatureSecurity,askOnDeletingData,"""true""",TRUE,"When deleting data, if true, feature security code is asked to user. Otherwise operation will be executed.",v5.0.0,EZSV-362,,,2021-03-09 Change key name based on MMI updates(03-02)
FeatureSecurity,askOnTransferringData,"""true""",TRUE,"When transferring data, if true, feature security code is asked to user. Otherwise operation will be executed.",v5.0.0,EZSV-362,,,2021-03-09 Change key name based on MMI updates(03-02)
FeatureSecurity,askOnExportingData,"""true""",TRUE,"When exporting data, if true, feature security code is asked to user. Otherwise operation will be executed.",v5.0.0,EZSV-362,,,2021-03-09 Change key name based on MMI updates(03-02)
FeatureSecurity,askOnModifyingData,"""true""",TRUE,"When modifying data, if true, feature security code is asked to user. Otherwise operation will be executed.",v5.0.0,EZSV-362,,,2021-03-09 Change key name based on MMI updates(03-02)
License,clinicId,"""""",TRUE,Clinic Identifier.,v5.0.0,EVNL-9,,This value should be updated via /licenseapi/clinicsforid NOT settingvalues api.,2021-02-26 add comment2
License,agreedPrivacyPolicy,"""false""",TRUE,True if agreed to privacy policy agreement in using License Manager.,v5.0.0,EVNL-9,,,
I18n,locale,"""Undefined""",FALSE,"Locale code for i18n. If ""Undefined"", the application need to get locale code from OS default locale. E.g. ""en_US' for English, ""ko_KR"" for Korean.",v5.0.0,POPV-98,,,2021-01-06 updated
EzServer,host,"""127.0.0.1""",FALSE,EzServer host name.,v5.0.0,,,,2021-01-08 added
License,isClinicInfoPosted,"""""",TRUE,This is only updated to true if clinic information is posted to LMP. ,v5.0.0,EZSV-400,,""""" - not setup.
""false"" - when clinic info entry page.
""true"" - when clinic info posted successfully.","2021-04-19 added, changed default value to empty."
License,addingLicense,"""{\""licenseType\"":\""usbSN\"",\""licenseKey\"":\""\"",\""usbSN\"":\""\"",\""machineSN\"":\""\""}""",TRUE,"While adding license, it is required to re-entry.",v5.0.0,EZSV-400,,"licenseType can be ""licenseKey"" or ""usbSN"".","2021-04-20 added
2021-04-23 removed deafult in json value."
ChartNumber,allowedCharacters,"""-0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_""",TRUE,Allowed characters for chart number.,v5.0.0,EZEW-407,,,"2021-04-23 added
2021-05-13 remove '@' from default value"
UserCalibration,User Calibration Name1 (User Input string),"""""",TRUE,User calibration added by the user,v5.0.0,,,"Multiple User Calibrations can come.
Each calibration is separated by a row.",8/24/2021
RYIOSensor,PremiumSensorConnected,"""false""",TRUE,true if there is a history of premium sensors connected,TBD,"ETWO-9313
(EzServer 이슈 생성 필요)",,,
Updater,isEnabled,"""true""",FALSE,True if EzUpdater Frontend is displaying releases.,v5.4.0,EZSV-612,,,2022-02-18 added
Updater,defaultLocale,"""en_US""",TRUE,Default locale for displaying release notes.,v5.4.0,EZSV-612,,,2022-02-18 added
Updater,selectedLocale,"""en_US""",TRUE,Selected locale for displaying release notes.,v5.4.0,EZSV-612,,,2022-02-18 added
Updater,isDownloadEnabled,"""false""",TRUE,True if new release file is automatically downloaded.,v5.4.0,EZSV-612,,,
